tid,sid,strategy_name,trader_code,holding_days,last_check,open_price,open_date,long_short,shares,close_date,close_price,pnl,tax,fee
91258,5234,ITFollow,001,30,2022-12-16,31.490114812133264,2013-10-31,long,1.0,2013-12-11,33.81315606876605,6.88,101.44,55.83
91259,5234,ITFollow,001,30,2022-12-16,33.9680254858749,2014-04-07,long,1.0,2014-05-19,27.670002523448247,-18.94,83.01,52.7
91260,5234,ITFollow,001,30,2022-12-16,53.964744578342284,2018-01-04,long,1.0,2018-02-22,61.43678613534352,13.32,184.31,98.67
91261,5234,ITFollow,001,30,2022-12-16,69.53149782209486,2018-03-16,long,1.0,2018-04-30,55.07171369789802,-21.19,165.22,106.54
91262,5234,ITFollow,001,0,2022-12-16,,,,,,,,,
91263,5243,ITFollow,001,0,2022-12-16,,,,,,,,,
91264,5244,ITFollow,001,0,2022-12-16,,,,,,,,,
91265,5258,ITFollow,001,0,2022-12-16,,,,,,,,,
91266,5269,ITFollow,001,30,2022-12-16,154.81060751961607,2015-10-07,long,1.0,2015-11-18,142.90209924887637,-8.13,428.71,254.54
91267,5269,ITFollow,001,30,2022-12-16,150.13226498468262,2016-07-27,long,1.0,2016-09-07,211.1840145263052,40.04,633.55,308.93
91268,5269,ITFollow,001,30,2022-12-16,242.71046250262478,2016-10-04,long,1.0,2016-11-15,201.2510240680127,-17.49,603.75,379.59
91269,5269,ITFollow,001,30,2022-12-16,220.68513583423712,2016-12-02,long,1.0,2017-01-13,267.32700407317566,20.58,801.98,417.25
91270,5269,ITFollow,001,30,2022-12-16,272.07756472714163,2017-01-23,long,1.0,2017-03-14,291.0798073430055,6.49,873.24,481.5
91271,5269,ITFollow,001,30,2022-12-16,281.5786860350736,2017-03-17,long,1.0,2017-05-02,270.3500881256995,-4.44,811.05,471.9
91272,5269,ITFollow,001,30,2022-12-16,285.0336392379579,2017-07-10,long,1.0,2017-08-18,272.07756472714163,-5.0,816.23,476.33
91273,5269,ITFollow,001,30,2022-12-16,312.2552538061265,2017-09-12,long,1.0,2017-10-25,304.88639825907933,-2.82,914.66,527.66
91274,5269,ITFollow,001,30,2022-12-16,341.270122522625,2017-11-09,long,1.0,2017-12-20,338.0462482207919,-1.41,1014.14,580.82
91275,5269,ITFollow,001,30,2022-12-16,332.98016003219686,2018-03-19,long,1.0,2018-05-02,319.62410935317376,-4.47,958.87,557.98
91276,5269,ITFollow,001,30,2022-12-16,356.0078336167195,2018-06-06,long,1.0,2018-07-18,488.18667999187926,36.51,1464.56,721.79
91277,5269,ITFollow,001,30,2022-12-16,441.7068595770364,2018-12-05,long,1.0,2019-01-16,505.20805714836507,13.85,1515.62,809.61
91278,5269,ITFollow,001,30,2022-12-16,485.5973931925136,2019-07-11,long,1.0,2019-08-22,555.4844162116511,13.87,1666.45,890.12
91279,5269,ITFollow,001,30,2022-12-16,565.9832625661668,2019-12-03,long,1.0,2020-01-14,687.1972159319395,20.86,2061.59,1071.47
91280,5269,ITFollow,001,30,2022-12-16,733.0103636607355,2020-01-30,long,1.0,2020-03-12,770.2335461903822,4.59,2310.7,1285.27
91281,5269,ITFollow,001,30,2022-12-16,1696.0902828892263,2021-07-14,long,1.0,2021-08-24,1830.624356319533,7.43,5491.87,3015.34
91282,5269,ITFollow,001,30,2022-12-16,2227.9553124999998,2021-09-02,long,1.0,2021-10-18,1478.8174999999999,-33.97,4436.45,3169.29
91283,5269,ITFollow,001,30,2022-12-16,1726.90859375,2022-02-14,long,1.0,2022-03-28,1863.11546875,7.39,5589.35,3069.47
91284,5269,ITFollow,001,30,2022-12-16,1970.13515625,2022-03-31,long,1.0,2022-05-16,1245.32,-37.12,3735.96,2749.21
91285,5269,ITFollow,001,0,2022-12-16,,,,,,,,,
91286,5283,ITFollow,001,0,2022-12-16,,,,,,,,,
91287,5284,ITFollow,001,0,2022-12-16,,,,,,,,,
91288,5285,ITFollow,001,30,2022-12-16,74.48280370435454,2017-12-29,long,1.0,2018-02-09,64.68453113148223,-13.58,194.05,118.99
91289,5285,ITFollow,001,30,2022-12-16,62.13939926739927,2020-12-08,long,1.0,2021-01-19,67.80532356532356,8.61,203.42,111.1
91290,5285,ITFollow,001,30,2022-12-16,91.4907448107448,2021-06-25,long,1.0,2021-08-05,105.78205128205128,15.09,317.35,168.67
91291,5285,ITFollow,001,30,2022-12-16,96.76923076923076,2021-09-15,long,1.0,2021-10-29,112.42307692307692,15.64,337.27,178.86
91292,5285,ITFollow,001,0,2022-12-16,,,,,,,,,
91293,5288,ITFollow,001,30,2022-12-16,61.94713704298915,2015-05-26,long,1.0,2015-07-07,50.91752483777401,-18.21,152.75,96.5
91294,5288,ITFollow,001,30,2022-12-16,56.885602674842474,2015-10-15,long,1.0,2015-11-25,97.45342290909268,70.57,292.36,131.96
91295,5288,ITFollow,001,30,2022-12-16,88.35054358444592,2016-09-07,long,1.0,2016-10-24,73.29529400503361,-17.45,219.89,138.21
91296,5288,ITFollow,001,30,2022-12-16,76.06862945387272,2017-06-27,long,1.0,2017-08-07,75.11777158569932,-1.72,225.35,129.26
91297,5288,ITFollow,001,30,2022-12-16,123.17146402074519,2019-02-22,long,1.0,2019-04-10,121.87492229421102,-1.52,365.62,209.51
91298,5288,ITFollow,001,30,2022-12-16,113.61864406779661,2020-08-27,long,1.0,2020-10-12,94.39815677966102,-17.32,283.19,177.85
91299,5288,ITFollow,001,0,2022-12-16,,,,,,,,,
91300,5306,ITFollow,001,0,2022-12-16,,,,,,,,,
91301,5388,ITFollow,001,0,2022-12-16,,,,,,,,,
91302,5434,ITFollow,001,0,2022-12-16,,,,,,,,,
91303,5469,ITFollow,001,0,2022-12-16,,,,,,,,,
91304,5471,ITFollow,001,0,2022-12-16,,,,,,,,,
91305,5484,ITFollow,001,0,2022-12-16,,,,,,,,,
91306,5515,ITFollow,001,0,2022-12-16,,,,,,,,,
91307,5519,ITFollow,001,0,2022-12-16,,,,,,,,,
91308,5521,ITFollow,001,0,2022-12-16,,,,,,,,,
91309,5522,ITFollow,001,0,2022-12-16,,,,,,,,,
91310,5525,ITFollow,001,0,2022-12-16,,,,,,,,,
91311,5531,ITFollow,001,0,2022-12-16,,,,,,,,,
91312,5533,ITFollow,001,0,2022-12-16,,,,,,,,,
91313,5534,ITFollow,001,0,2022-12-16,,,,,,,,,
91314,5538,ITFollow,001,0,2022-12-16,,,,,,,,,
91315,5546,ITFollow,001,0,2022-12-16,,,,,,,,,
91316,5607,ITFollow,001,0,2022-12-16,,,,,,,,,
91317,5608,ITFollow,001,0,2022-12-16,,,,,,,,,
91318,5706,ITFollow,001,30,2022-12-16,31.432217499594913,2013-07-25,long,1.0,2013-09-05,29.547303322147567,-6.44,88.64,52.14
91319,5706,ITFollow,001,0,2022-12-16,,,,,,,,,
